Property ID,Property                                        ,Original                                                               ,Google Translate                                                       ,Human Translated
P141       ,IUCN conservation status                        ,What is the endangered status of XXX?                                  ,What is the endangered status of XXX?                                  ,What is the endangered status of XXX?
P141       ,IUCN conservation status                        ,How endangered does the iucn consider XXX?                             ,How endangered does the iucn consider XXX?                             ,How endangered does the iucn consider XXX?
P141       ,IUCN conservation status                        ,What is the status of XXX?                                             ,What is the status of XXX?                                             ,What is the status of XXX?
P141       ,IUCN conservation status                        ,What level is XXX's iucn conservation status?                          ,What level is XXX's iucn conservation status?                          ,What level is XXX's iucn conservation status?
P141       ,IUCN conservation status                        ,What is the conservation status of XXX?                                ,What is the conservation status of XXX?                                ,What is the conservation status of XXX?
P141       ,IUCN conservation status                        ,What is an ecological status of XXX?                                   ,What is an ecological status of XXX?                                   ,What is an ecological status of XXX?
P141       ,IUCN conservation status                        ,What status on the endangered list is XXX?                             ,What status on the endangered list is XXX?                             ,What status on the endangered list is XXX?
P141       ,IUCN conservation status                        ,What is the iucn conservation status of XXX?                           ,What is the iucn conservation status of XXX?                           ,What is the iucn conservation status of XXX?
P113       ,airline hub                                     ,What airport is XXX part of?                                           ,What airport is XXX part of?                                           ,What airport is XXX part of?
P113       ,airline hub                                     ,What airport is XXX associated with?                                   ,What airport is XXX associated with?                                   ,What airport is XXX associated with?
P113       ,airline hub                                     ,What airport does XXX operate out of?                                  ,What airport does XXX operate out of?                                  ,What airport does XXX operate out of?
P113       ,airline hub                                     ,Which airport does XXX operate in?                                     ,Which airport does XXX operate in?                                     ,Which airport does XXX operate in?
P113       ,airline hub                                     ,What is the name of the airport where XXX is located?                  ,What is the name of the airport where XXX is located?                  ,What is the name of the airport where XXX is located?
P113       ,airline hub                                     ,At what airport can you find XXX?                                      ,At what airport can you find XXX?                                      ,At what airport can you find XXX?
P113       ,airline hub                                     ,Which airport is most closely associated with XXX?                     ,Which airport is most closely associated with XXX?                     ,Which airport is most closely associated with XXX?
P113       ,airline hub                                     ,What is the name of the airport associated with XXX?                   ,What is the name of the airport associated with XXX?                   ,What is the name of the airport associated with XXX?
